seed,fold,specialty,mode,empirical_probability,baseline_probability,outcome,empirical_brier,baseline_brier
42,0,SHASE,DIFFUSION,0.5,0.22402597402597402,1,0.25,0.6021356889863384
42,0,MEMORY_ANALYST,DIFFUSION,0.40625,0.22402597402597402,1,0.3525390625,0.6021356889863384
42,0,RED_TEAM,DIFFUSION,0.15384615384615385,0.22402597402597402,0,0.02366863905325444,0.05018763703828639
42,0,COUNTERFACTUAL,DIFFUSION,0.22857142857142856,0.22402597402597402,0,0.05224489795918367,0.05018763703828639
42,0,ANOMALY_HUNTER,DIFFUSION,0.23529411764705882,0.22402597402597402,0,0.05536332179930796,0.05018763703828639
42,0,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.22402597402597402,1,0.25,0.6021356889863384
42,0,DECEPTION_ANALYST,DIFFUSION,0.391304347826087,0.22402597402597402,1,0.37051039697542537,0.6021356889863384
42,0,UNCERTAINTY_CARTOGRAPHER,AR,0.3170731707317073,0.22402597402597402,1,0.4663890541344437,0.6021356889863384
42,0,SHASE,DIFFUSION,0.5,0.22402597402597402,1,0.25,0.6021356889863384
42,0,DECEPTION_ANALYST,AR,0.28125,0.22402597402597402,1,0.5166015625,0.6021356889863384
42,0,MEMORY_ANALYST,AR,0.34375,0.22402597402597402,1,0.4306640625,0.6021356889863384
42,0,EVIDENCE_FORENSICS,DIFFUSION,0.25,0.22402597402597402,1,0.5625,0.6021356889863384
42,0,NOVELTY_FORGE,AR,0.18518518518518517,0.22402597402597402,0,0.034293552812071325,0.05018763703828639
42,0,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.22402597402597402,1,0.25,0.6021356889863384
42,0,SHASE,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,DECEPTION_ANALYST,DIFFUSION,0.391304347826087,0.22402597402597402,0,0.15311909262759926,0.05018763703828639
42,0,MEMORY_ANALYST,AR,0.34375,0.22402597402597402,0,0.1181640625,0.05018763703828639
42,0,CAUSALITY,DIFFUSION,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
42,0,EVIDENCE_FORENSICS,DIFFUSION,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
42,0,BOUNDARY_HUNTER,DIFFUSION,0.32142857142857145,0.22402597402597402,1,0.46045918367346944,0.6021356889863384
42,0,MODEL_KILLER,AR,0.20833333333333334,0.22402597402597402,0,0.04340277777777778,0.05018763703828639
42,0,PARADIGM_BREAKER,AR,0.15789473684210525,0.22402597402597402,0,0.02493074792243767,0.05018763703828639
42,0,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,SHASE,AR,0.3783783783783784,0.22402597402597402,1,0.3864134404674945,0.6021356889863384
42,0,MEMORY_ANALYST,AR,0.34375,0.22402597402597402,0,0.1181640625,0.05018763703828639
42,0,META_ARCHITECT,AR,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,ASSUMPTION_HUNTER,DIFFUSION,0.23076923076923078,0.22402597402597402,0,0.053254437869822494,0.05018763703828639
42,0,SYNTHESIZER,AR,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
42,0,BLIND_SPOT_HUNTER,DIFFUSION,0.10526315789473684,0.22402597402597402,0,0.011080332409972297,0.05018763703828639
42,0,EVIDENCE_FORENSICS,AR,0.1875,0.22402597402597402,0,0.03515625,0.05018763703828639
42,0,ANOMALY_HUNTER,AR,0.07142857142857142,0.22402597402597402,0,0.00510204081632653,0.05018763703828639
42,0,NOVELTY_FORGE,AR,0.18518518518518517,0.22402597402597402,0,0.034293552812071325,0.05018763703828639
42,0,PARADIGM_BREAKER,DIFFUSION,0.3,0.22402597402597402,0,0.09,0.05018763703828639
42,0,SHASE,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,META_ARCHITECT,AR,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,MODEL_KILLER,DIFFUSION,0.3076923076923077,0.22402597402597402,0,0.09467455621301776,0.05018763703828639
42,0,BOUNDARY_HUNTER,DIFFUSION,0.32142857142857145,0.22402597402597402,0,0.10331632653061226,0.05018763703828639
42,0,ANOMALY_HUNTER,AR,0.07142857142857142,0.22402597402597402,0,0.00510204081632653,0.05018763703828639
42,0,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,COUNTERFACTUAL,DIFFUSION,0.22857142857142856,0.22402597402597402,1,0.5951020408163266,0.6021356889863384
42,0,ASSUMPTION_HUNTER,AR,0.17647058823529413,0.22402597402597402,0,0.031141868512110732,0.05018763703828639
42,0,DECEPTION_ANALYST,DIFFUSION,0.391304347826087,0.22402597402597402,0,0.15311909262759926,0.05018763703828639
42,0,SYNTHESIZER,AR,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
42,0,MEMORY_ANALYST,AR,0.34375,0.22402597402597402,0,0.1181640625,0.05018763703828639
42,0,SHASE,AR,0.3783783783783784,0.22402597402597402,0,0.14317019722425128,0.05018763703828639
42,0,META_ARCHITECT,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
42,0,MODEL_KILLER,DIFFUSION,0.3076923076923077,0.22402597402597402,0,0.09467455621301776,0.05018763703828639
